Structure: Item Name, Item ID
Araxyte venom sack, 29784
Old tablet, 28438
Rune shards, 6466
Survival token, 20527
Oak bed (small, Mahogany Homes)#1, 24919
Oak bed (small, Mahogany Homes)#2, 24919
Abyssal lantern#Normal, 26824
Oak bed (small, Mahogany Homes)#3, 24919
Teak altar#Guthix, 8063
Void knight gloves (or)#Locked, 27002
Wristbands of the arena (i)#Charged and Locked, 26730
Echo crystal, 28942
Seaweed in a box?, 6680
Beer glass of water, 23107
Dharok's platebody#50, 4894
Moonlight mead(m) (keg)#4 pints, 5897
Bronze key purple, 3454
Potion of sealegs, 21531
Imbued guthix cape (Last Man Standing), 23603
Clan wars cape (PvP Championship)#Vizier, 21411
Slop of compromise, 7511
Sapphire dragon bolts (e), 21940
Posh bell-pull, 8101
Bench with vice, 8378
Water-filled vial, 23880
Team cape i, 20217
Zulrah's scales, 12934
Guardian's eye, 26820
Elemental talisman, 5516
Dragon dart tip, 11232
Maze key, 1542
Incomplete pizza (cookout), 26631
Oak wardrobe (Mahogany Homes), 24907
3rd age longsword, 12426
Black d'hide chaps (Last Man Standing), 20424
Mole skin, 7418
Gilded altar#Saradomin, 8068
Cooler, 26925
Dharok's platebody#75, 4893
Crystal body (Ithell)#Inactive, 27711
Dream potion, 11154
Team cape x, 20214
Decorative armour (gold platelegs)#Broken, 20487
Slayer's respite (keg)#1 pint, 5835
Skull piece, 6163
Banner stand#Trailblazer, 25355
Bruma herb, 20698
Clue scroll (medium) - 11.05N 00.45W, 3594
Brown spice#(2), 7490
Spider cave teleport, 29782
Brown spice#(3), 7489
Steel dagger#(unp), 1207
Dagon'hai history, 11001
3rd age druidic staff, 23342
Extended brush#2 canes, 4192
Bearded gorilla greegree, 4027
Blood moon helm#New, 29028
Brown spice#(1), 7491
Teak armchair (flatpack), 8506
Fishbowl#Empty, 6667
Mahogany lever, 8366
Servery pineapple chunks, 13411
Anti-panties#Reward, 13288
Pearl bolts (e), 9238
Bandos godsword ornament kit, 20071
Decorative armour (magic hat)#Normal, 11898
Stolen garnet ring, 13435
Diamond ring, 1643
Antique lamp (Karamja Diary)#Easy, 11137
A scruffy note, 1508
Cooked crab meat#One, 7526
Adamantite bar, 2361
Teak lever, 8365
Crystal bow (historical)#7/10, 4217
Clue scroll (hard) - The beasts to my east snap claws and tails, 2783
Dni23 legs ripped, 29748
Doogle leaves, 1573
Washing bowl, 2964
Imbued saradomin cape#Locked, 24248
Rainbow jumper#Pansexual, 28121
Mahogany toy box#Open, 9838
Grapple (animation item), 9415
Ranger boots, 2577
Rock golem#Rock, 13321
4/5ths full bucket, 3723
Light ballista (Last Man Standing), 27188
Barbarian rod, 11323
Fruity easter egg, 21216
Scorpion cage#Taverley + Outpost, 458
Lil' zik#Lil' Bloat, 25749
Bruised banana, 27485
Contract of harmony acquisition, 30837
Burnt meat, 2146
Clue scroll (easy) - Jump for joy at the beehives, 10214
Curtains#Regular, 8323
Snake mask, 29933
Scroll box (easy), 24362
Book of haricanto, 4248
Spell (unobtainable item)#Superglass Make, 9119
Terrorbird wing#Polished, 7880
Red icon#Mutton, 25238
Clan wars cape#Handlebar, 12668
Mahogany chair (Mahogany Homes)#1, 24933
Mahogany chair (Mahogany Homes)#2, 24933
Barrelchest anchor (bh), 27855
Saradomin hilt, 11814
Clue scroll (elite) - A demon's best friend, 19797
Portal talisman (body), 26895
Red icon#Split, 25236
Aqualux amalgam#Unfinished, 30015
Ancient halo#Broken, 24153
Uncut jade, 1627
Pumpkin lantern, 24325
Unfinished cocktail (Drunk dragon, historical)#Plain, 2086
Adamant axe, 1357
'perfect' ring, 773
Black sq shield, 1179
Blurite bolts#Poison+, 9293
Blessed bone statuette#(eagle), 29338
Fruity chocolate mix, 21228
Chompy bird obj, 2884
Gold fragment, 21247
Steel cage (Oubliette), 8299
Kitten#Brown, 1557
Guardian horn, 28769
Unstrung heavy ballista, 19607
Elidinis' ward, 25985
Accursed sceptre (a)#Uncharged, 27676
Lockpick (Desert Treasure II), 28415
Vine flower, 29556
Large meat pouch#Open, 29464
Beige pumpkin (2024 Halloween event)#Angry, 30172
Nature impling jar, 11250
Banner (Arrav), 8650
Leaping salmon, 11330
Graceful hood (Kourend)#Worn, 13668
Void ranger helm#Locked, 24184
Will and testament, 12838
Circular hide, 6169
Premade ttl, 2231
Adventurer's hood (t1), 27392
Ruby amulet, 1698
Unfinished cocktail (Blurberry special, historical)#Plain, 2056
Satchel (Monkey Madness II)#Empty, 19527
Dragon pickaxe (or) (Trailblazer)#Trailblazer Reloaded, 30351
Unfinished bowl (worm hole), 9560
Bone in vinegar#Mogre bone, 7852
Grimy volencia moss, 1531
Iron fire arrow#Lit, 2533
Rune full helm (g), 2619
Adamant heraldic helm (Horse), 22173
Frozen jug, 3733
Potion (A Taste of Hope), 22409
Red icon#Vizier, 25243
Clue scroll (medium) - GOT A BOY, 7276
Maoma's full helm#Normal, 26745
Carrot costume hat, 30720
Silif (item), 29572
Nature talisman, 1462
Adventurer's hood (t2), 27400
Clue scroll (elite) - South-west of Tree Gnome Village, 12130
Magical cleaning potion (2022 Easter event), 26924
Crystal bow (i)#9/10, 11750
Stone tablet (The Garden of Death)#Mount Quidamortem, 27519
Gilded clock, 8054
Coin pouch#Desert bandit, 22530
Kite shield (Construction)#Zamorak, 8107
Oak plank, 8778
Level 3 certificate, 693
Origami balloon#Purple, 9940
Blue cog, 22
Clue scroll (easy) - Search the crates in the Barbarian Village helmet shop, 2690
Ancient astroscope, 25690
Sigil of deception#Un-attuned, 29658
Adventurer's hood (t3), 27408
Barricade (Desert Treasure II), 28390
Enhanced crystal weapon seed, 25859
Clan vexillum#Yellow, 25727
Snape grass seed, 22879
Blessed bone statuette#(fox), 29340
Nulodion's notes, 3
Dragon bolts#Unpoisoned, 21905
Wooden dresser (Mahogany Homes), 24910
Dwarf weed, 267
Branch (Temple Trekking), 7773
Ensouled monkey head#Drop, 13450
Zamorak's grapes, 20749
Blue d'hide shield, 22278
Balloon toad#Regular, 7564
Alchemist labcoat#Apron on, 29980
Map part (Melzar), 1535
Key (orange), 1544
3rd age felling axe, 28226
Crest part#Avan, 779
Boots of the eye, 26856
Corrupted voidwaker, 28531
Manor key#Quest, 21052
Adamant dagger#(p+), 5676
Asgarnian ale(m) (keg)#4 pints, 5865
Clue scroll (medium) - Look for a locked chest in the town's chapel, 2831
Eclipse moon tassets#Used, 29033
Yellow toad, 6091
Blood moon tassets#Used, 29045
Overload (Nightmare Zone)#(4), 11730
Magic shield, 22263
Willow shortbow, 849
Longer pulley beam, 7971
Rune scimitar ornament kit (saradomin), 23324
Extradimensional bag#Open, 25108
Attack cape#Untrimmed, 9747
Empty sack (animation item), 10486
Oak drawers (Mahogany Homes), 24927
Healer hat#Locked, 24172
Clue scroll (hard) - I lie lonely and forgotten in mid wilderness, 2786
Mystic hat (dusk), 23047
Mithril spear#(p), 1257
Topaz amulet (u), 21105
Dwarven battleaxe#Repaired, 5059
Crystal helm#Active, 23971
Overload (Nightmare Zone)#(3), 11731
Ornate league statue, 25360
Castle wars supply crate, 30690
Antipoison potion#(1), 25758
Crafting cape#Untrimmed, 9780
Silver bar, 2355
Gravedigger gloves#Reward, 13287
Raw leckish fish (2), 20859
Magic potion#(3), 3042
King arthur (portrait), 8285
Ensouled goblin head#Drop, 13447
Dagon'hai robe bottom, 24294
Purifying sigil (left), 30783
Iron gold-trimmed set (sk), 12982
Dragon inn tankard, 4811
Lava battlestaff (or), 21198
Mogre bone#Unpolished, 7851
Banner stand#Shattered Relics, 25355
Magic potion#(4), 3040
Clue scroll (hard) - IWPPLQTP, 23172
Muddy key, 991
Murng bat (5), 20881
Shayzien supply boots (1), 13539
Monkey paw#Unpolished, 7854
Echo ahrim's robetop#(broken), 30545
Clue scroll (master) - 01.54S 08.54W, 19835
Herb box#Closed, 11738
Antipoison potion#(3), 25760
Gilded magic wardrobe#Closed, 8044
Dossier (Black Knights' Fortress), 9589
Cooked wild kebbit, 29128
Chewed bones, 11338
Crystal legs (Hefin)#Inactive, 27703
Winter garden (interface item), 10855
Runefest shield, 21695
Rainbow scarf#Bisexual, 28108
Iron javelin#Unpoisoned, 826
Banner (Skull), 8676
Shayzien supply boots (2), 13544
Festive ginger powder, 24433
Mystic robe bottom (dark), 4103
Clue scroll (medium) - Go to this building to be illuminated, 7298
Antipoison potion#(2), 25759
Rock (limestone), 968
Fury ornament kit, 12526
Book (The Heart of Darkness), 29878
Pearl fishing rod, 22846
Soul fragment#Tutorial, 25196
Trailblazer dragon trophy, 25042
Rock golem#Elemental, 21359
Team-4 cape, 4321
Team-7 cape, 4327
Clue scroll (medium) - 05.43N 23.05E, 2825
Shayzien supply boots (3), 13549
Ruined catfish, 25674
Unidentified fragment (production), 26545
Jar of eyes, 23525
Unfinished crunchy (spicy), 9580
Spell (unobtainable item)#Crumble Undead, 3293
Decorative armour (ranged top)#Broken, 20501
Leaf-bladed spear, 4158
Assembler max cape#Broken, 21916
Ward upgrade kit, 12802
Shayzien supply boots (4), 13554
White dagger#(p), 6593
Half made crunchy (chocchip), 9577
Purple candy, 24983
Antipoison potion#(4), 25761
Super antifire mix#(1), 21997
Contract of shard acquisition, 30828
Corrupted zuriel's robe top (bh)#Inactive, 27992
Festive elf hat, 26312
Clue scroll (elite) - 24.07N 23.22E, 12095
Smoked chocolate mix, 21237
Shayzien supply boots (5), 13559
Icy basalt, 22599
Noon#Noon, 21748
Imbued saradomin max cape#Broken, 24238
Sigil of prosperity#Attuned, 26080
Gold coffin#Open, 25473
Bronze javelin heads, 19570
Sigil of the bloodhound#Attuned, 28510
Cat#White, 1562
Super antifire mix#(2), 21994
Spell (unobtainable item)#Ape Atoll Teleport, 7619
Crushed gem, 1633
Steel spear#(kp), 3172
Abyssal lantern#Maple, 26840
Bandit (interface item)#Bearded Pollnivnian Bandit, 6782
Clan wars cape (PvP Championship)#Short, 21402
Crystal body (Iorwerth)#Inactive, 27723
Gilded hasta, 20161
Ecumenical key, 11942
Valve wheel, 10875
Impling jar, 11260
Karil's crossbow#Undamaged, 4734
Boundary stones, 8196
Echo boots, 28945
Hunter kit, 11159
Dharok's platelegs#100, 4898
Apatura's key, 29323
Zamorak hilt, 11816
Zamorak godsword (or), 20374
Bronze dart#(unp), 806
Clan wars cape#Split, 12667
Greenmans ale (keg)#1 pint, 5787
Brimhaven teleport, 11745
Antique lamp (Master Combat Achievements), 25924
Light frame, 19586
Purple robe bottoms, 2938
Soul bearer, 19634
Vault key, 21872
Bronze arrowtips, 39
Golden bowl#Blessed pure water, 726
Movario's notes (volume 2), 29526
Premade c+t batta, 2223
Holy ghrazi rapier, 25734
Dragonfruit pie#Full, 22795
Enchanted curtains, 21861
Dragon crossbow, 21902
Soda ash, 1781
Equa toad's legs, 2154
Goblin skull#Polished, 7814
Larupia fur, 10095
Ancient staff, 4675
Servery pastry dough, 13398
3rd age druidic robe bottoms, 23339
Infernal pickaxe#Charged, 13243
Mahogany toy box (flatpack), 9851
Ensouled bloodveld head#Item, 13496
Crest part#Johnathon, 781
Dragon dagger (cr)#(p+), 28023
Sliding piece (Cerberus)#11, 20317
Sliding piece (Cerberus)#10, 20316
Brutal Black Dragon (interface item), 21391
Bird snare, 10006
Rune javelin#Poison+, 5647
Sliding piece (Cerberus)#15, 20321
Sliding piece (Cerberus)#14, 20320
Sliding piece (Cerberus)#13, 20319
Sliding piece (Cerberus)#12, 20318
Large pouch#Degraded, 5513
Reduced cadava potion, 22589
Silver bolts#Unpoisoned, 9145
Model ship#Without flag, 4253
Crystal staff (perfected), 23900
Blue boots, 630
Pole (animation item)#Normal, 4500
Master wand, 6914
Poison chalice, 197
Iced gingerbread shield#Green, 24438
Sliding piece (Cerberus)#22, 20328
Sliding piece (Cerberus)#21, 20327
Sliding piece (Cerberus)#20, 20326
Sliding piece (Cerberus)#24, 20330
Herb tea mix#Two guams, 4474
Sliding piece (Cerberus)#23, 20329
Sliding piece (Cerberus)#19, 20325
Dirty robe, 3267
Sliding piece (Cerberus)#18, 20324
Dust battlestaff, 20736
Sliding piece (Cerberus)#17, 20323
Sliding piece (Cerberus)#16, 20322
Mithril dart#(p+), 5632
Clue scroll (hard) - The Moons of Ruin, 28918
Wine labels, 29928
Iron gloves, 7455
Antique lamp (fossil display)#Small fossil, 21640
Statius's platelegs (bh)#Inactive, 27937
Clue scroll (elite) - Has no one told you it is rude to ask a lady her age, 12140
Hex edit detected#Shears, 6195
Extended super antifire mix#(1), 22224
Half made bowl (chocolate bomb), 9563
Spell (unobtainable item)#Water Strike, 3275
Granite maul#Clamp, 12848
Guthan's platebody#100, 4916
Zuriel's staff (bh)#Inactive, 27922
Spider hat#Old, 28611
Defender icon#Goatee, 23466
Skewered rabbit, 7224
Armadyl godsword (or), 20368
Round shield (Construction)#Skull, 8105
Dark bow imbue scroll, 28072
Blank fire rune, 9698
Trident of the seas#Charged, 11905
Smiths boots, 27027
Clue scroll (easy) - Search the drawers in the house next to the Port Sarim mage shop, 12188
Perfected quetzal whistle blueprint, 29256
Beige pumpkin#Evil, 30241
Slice of birthday cake#2025, 11916
Clue scroll (elite) - Right on the blessed border, cursed by the evil ones, 12146
Clue scroll (easy) - Search the crates in the shed just north of East Ardougne, 2707
Bone seeds, 7950
Ohn's diary, 12935
Adamant hasta#(p), 11407
Dummy portal, 24545
Mahogany pyre logs, 6213
Radimus notes#Incomplete, 714
Baby chinchompa#Red, 13323
Bone spear, 5016
Robe top of the eye#Regular, 26852
Trinket of advanced weaponry, 28567
Burnt spider, 6301
Clue scroll (easy) - Bow in the office of the Emir's Arena, 10232
Iron hasta#(unp), 11369
Aether catalyst, 30771
Extended super antifire mix#(2), 22221
Small fossilised spine, 21572
Dragon harpoon (or)#Trailblazer, 25373
Newcomer map, 550
Elaborate lockbox#Outside vault, 25649
Desert goat horn, 9735
Bandos cloak, 12273
Karidian disguise, 4595
Ornate cape, 23099
Infernal cape (Last Man Standing), 23622
Eggshell platelegs, 22353
Inoculation bracelet, 11088
Tea leaves, 7738
Corrupted zuriel's robe bottom (bh)#Activated, 27852
Obsidian cape (r), 20050
Blue d'hide chaps, 2493
Orange tree seed, 5285
Infernal cape (animation item), 21297
Rainbow scarf#Pansexual, 28111
Clean full helm, 26290
Clue scroll (easy) - Belladonna, my dear If only I had gloves, 19823
Tenacious indigo iris seed, 27040
Dragon spear (cr)#(p++), 28047
Coin pouch#Paladin, 22535
Ensouled horror head#Item, 13487
Silver pot (Desert Treasure I)#Garlic, 4662
Waterskin#(4), 1823
Mithril axe head, 516
Silver key black, 3468
Spell (unobtainable item)#Shadow Blitz, 4642
Graceful cape (Kourend)#Worn, 13670
Rune heraldic helm (Kandarin), 8482
Infernal axe#Uncharged, 13242
Bronze bolts#Unpoisoned, 877
Hard leather, 1743
Jar of dreams, 24495
Damp planks, 11031
Teleport crystal#(5), 13102
Ornate undead combat dummy#Undead, 25154
Tin (Recruitment Drive)#Strange, 5599
Occult necklace (or), 19720
Burnt mushroom, 7094
Jade bolts (e), 9237
Invasion plans, 794
Jewel of the sun, 27289
Mystic gloves, 4095
Extended brush#3 canes, 4193
Sapphire glacialis (interface item), 9971
Unfinished cocktail (Wizard blizzard, historical)#Pineapple, 2052
Blue dragon mask, 12520
Lye paste, 30009
Marinated j' bones#Normal, 3133
Useless key#Bank placeholder, 16684
Rift guardian#Cosmic, 20677
Fire max cape#Normal, 13329
Rune dragon mask, 23273
Oak cupboard, 24935
Torn enhanced quetzal whistle blueprint, 29259
Gilded wardrobe (flatpack), 8622
Gold key black, 25430
Blood potion, 22407
Sigil of swashbuckler#Attuned, 29672
Resper mushroom, 28347
Bone in vinegar#Moss giant bone, 7870
Shield fragment, 11054
New crystal shield (unobtainable item), 4235
Bravery potion, 739
Oak chair, 8312
Ale yeast, 5767
Huge spider, 8135
Ardougne teleport scroll, 1505
Iron halberd, 3192
Waterskin#(0), 1831
Bookcase (flatpack), 8510
Prescription goggles#Unfocused, 29974
Blighted anglerfish, 24592
Burnt large beast, 29157
Crystal body (Iorwerth)#Active, 27721
Clue scroll (easy) - Search the chest in the left-hand tower of Camelot Castle, 2703
Teleport crystal#(2), 6101
Tomato (cookout), 26623
Bronze key (Prince Ali Rescue), 2418
Graceful gloves (Shayzien)#Worn, 13624
Attack potion#(4), 2428
Fox fur, 29163
Body core, 25698
Magnet (Recruitment Drive), 5604
Filled plant pot, 5354
Atlatl dart (Last Man Standing), 29852
Desiccated page, 30640
Waterskin#(1), 1829
Brooch, 5008
Teleport crystal#(1), 6102
Oak armour case (flatpack), 9859
Ava's attractor, 10498
Axe head, 11050
Attack potion#(3), 121
Inquisitor's hauberk, 24420
Admiral pie#Half, 7200
Light infinity colour kit, 12530
Spade, 952
Waterskin#(2), 1827
Clue scroll (easy) - Headbang in the mine north of Al Kharid, 10194
Shattered relics iron trophy, 26505
Green firelighter, 7330
Sigil of the smith#Attuned, 26023
Weapon frame, 23834
Teleport crystal#(4), 6099
Attack potion#(2), 123
Shears (Recruitment Drive), 5603
Armadyl pendant, 87
Lamp, 2528
Glarial's urn#Empty, 297
Oak dresser, 8047
Oak chest#Closed, 8149
Clue scroll (elite) - 05.24S 26.56E, 12100
Blessed bones, 29344
Graceful gloves (Hallowed)#Worn, 24757
Half made batta (vegetable), 9485
Coin pouch#Vyre, 24703
Mithril staff of collection, 30605
Unfinished cocktail (Choc saturday, historical)#Cream, 2072
Bronze spear#(p+), 5704
Murky potion, 21711
Teleport crystal#(3), 6100
Sea salt, 21246
Bronze med helm, 1139
Sealed vase#Empty, 3738
Zealot's helm, 25438
Attack potion#(1), 125
Waterskin#(3), 1825
Spring sq'irk, 10844
Movario's notes (volume 1), 29525
Steel dart tip, 821
Bastion potion#(1), 22470
Shattered top (t3), 26454
Gazebo, 8192
Elder chaos robe (Last Man Standing), 27175
Catalytic rune pack, 20523
Ornate banner stand#Trailblazer Reloaded, 25356
Mithril claws, 3099
Graceful boots (Hosidius)#Inventory, 13637
Twisted blueprints, 24463
Cooked karambwan (unobtainable item), 3147
Clue scroll (hard) - 08.03N 31.16E, 3544
Pitta bread, 1865
Amethyst fire arrow#Unlit, 21328
Hanging skeleton, 8127
Teak bed (Mahogany Homes)#5, 24924
Teak bed (Mahogany Homes)#4, 24924
Teak bed (Mahogany Homes)#3, 24924
Teak bed (Mahogany Homes)#2, 24924
Teak bed (Mahogany Homes)#1, 24924
Burnt bonemeal, 4258
Nutcracker trousers#Festive, 27574
Hosidius banner, 20254
Medium fossilised spine, 21582
Secateurs blade, 28159
Guthix icon, 8060
Dragon armour set (sk), 21885
Progress hat#Energised, 6886
Ring mould, 1592
Seal of passage, 9083
Masori assembler max cape#Locked, 27365
Crystal legs (Crwys)#Inactive, 27763
Iron dagger#(p), 1219
Pet k'ril tsutsaroth, 12652
Hobgoblin champion scroll, 6802
Rune knife#(p++), 5667
Mahogany throne, 8359
Saragorgak key, 26574
Elder chaos hood (Last Man Standing), 27176
A stone bowl#Empty, 2888
Exquisite clothes, 5067
Trailblazer reloaded bulwark ornament kit, 28684
Moonlight moth mix#1 dose, 29213
Shoe (interface item)#Basic, dark, female, 26665
3rd age full helmet, 10350
Jar of venom, 29786
Steel full helm, 1157
Dagon'hai hat, 24288
Clue scroll (hard) - Surprising, 2796
Clue scroll (elite) - A reck you say, 12151
Boots of lightness#Worn, 89
Crystal spike, 23868
Burnt fish (herring), 357
Mourner gloves, 6068
Ancient altar, 20617
Crystal legs (beta), 25497
Grape seed, 13657
Fuse#Broken, 10986
Tumeken's guardian#Tumeken's Guardian, 27352
Xerician robe, 13389
Farming cape#Untrimmed, 9810
Hammer, 2347
Pink boots, 626
Mithril knife#(p+), 5657
Present box hat#Simple, 30481
Clue scroll (hard) - Probably filled with books on magic, 7249
Inverted santa hat, 13344
Banana seedling#Unwatered, 5481
Sandbag, 9943
Sinister key, 993
Korbal herb, 28384
Child's blanket, 90
Rune cane, 12379
Chaos rune, 562
Torag's hammers#Undamaged, 4747
Sandstone#10kg, 6977
Steel arrow#(p+), 5618
Fractured crystal (Song of the Elves), 23784
Ninja monkey greegree (small), 4024
Bastion potion#(4), 22461
Potion (Apothecary), 195
Bone in vinegar#Werewolf bone, 7867
Smiths gloves, 27029
Clue scroll (easy) - Blow a raspberry at the monkey cage in Ardougne Zoo, 10216
Bowl of water, 1921
Raw guide cake, 7543
Mixture - step 2#1 dose, 10923
Milky mixture, 7471
Zamorak max cape, 13333
Ornate gloves, 23091
Oak magic wardrobe#Closed, 8040
Crystal halberd (i)#3/10, 13088
Shattered top (t1), 26430
Beige pumpkin#Angry, 30242
Key (Tree Gnome Village Dungeon), 293
Clue scroll (hard) - Leader of the Yak City, 19856
Curry sapling, 5499
Bastion potion#(3), 22464
Magus ring, 28313
Crystal shield (historical)#9/10, 4226
Illuminating lure, 28464
Clue scroll (hard) - Surviving, 12584
Magic roots, 6051
Shattered top (t2), 26442
Grimy cadantine, 215
Mystic lava staff (or), 21200
Plushy, 28987
Coloured ball, 10874
Unfinished cocktail (Blurberry special, historical)#Orange + Lemon, 2060
Bastion potion#(2), 22467
Axeman's folly(m) (keg)#2 pints, 5901
Tztok slayer helmet (i)#Emir's Arena, 26682
Ancestral robe bottom, 21024
Dragon gloves, 7461
Green naval shirt, 8953
Zamorak banner#Minigame, 4039
Premade sgg, 2038
Purple dye, 1773
Unfinished crunchy (toad, historical), 2215
Egniol potion#(3), 23884
Amulet of eternal glory, 19707
Uncooked berry pie, 2321
Cranial clamp, 10893
Mining tome#Yellow, 7792
Raw bear meat, 2136
Team-10 cape, 4333
Echo ahrim's robetop#Undamaged, 30447
Magic stone (Tears of Guthix), 4703
Cockatrice head, 7976
Prayer regeneration potion#(4), 30125
Revitalisation (+)#(4), 20960
Sigil of the infernal chef#Un-attuned, 28502
Graceful top (Arceuus)#Inventory, 13583
Dagon'hai robe top, 24291
Elysian spirit shield (Monkey Madness II), 19559
Lava staff upgrade kit, 21202
Oil lantern frame, 4540
Steel key purple, 3459
Egniol potion#(4), 23885
Oak shelves 1#Dishware, 8226
Graahk top, 10049
Jade dragon bolts (e), 21934
Bronze bolts#Poison, 878
Bug lantern#Lit, 7053
Dark green pumpkin#Happy, 30291
Vulnerability charm, 30685
Vyre noble legs (unscented), 24674
Spell (unobtainable item)#Lassar Teleport, 4640
Cream hat, 662
Crumpled scroll, 608
Krandorian hops, 6000
Noxious blade, 29792
Clue scroll (easy) - Speak to Arhein in Catherby, 2701
Dream vial#Water, 11152
Egniol potion#(1), 23882
Elaborate lockbox#Inside vault, 25648
Prayer hood, 9761
Barronite guard, 25639
Ancient hilt, 26370
Druidic spell, 2968
Amethyst javelin heads, 21352
Clan wars cape (PvP Championship)#Mutton, 21406
Adamant crossbow, 9183
Iron dart tip, 820
Raw mud pie, 7168
Revitalisation (+)#(2), 20958
Dni23 arms tattyshort, 29734
Prayer regeneration potion#(2), 30131
Bird nest (egg)#Blue egg, 5072
Papaya seedling#Watered, 5493
Ancient magicks tablet, 20430
Inquisitor's armour set, 24488
Dharok's platebody (Last Man Standing), 25515
Kindling, 9094
Holy scythe of vitur#Charged, 25736
Amulet of the eye#Red, 26990
Lizardman egg, 25809
Morrigan's leather body (bh)#Activated, 27837
Egniol potion#(2), 23883
Clue scroll (easy) - Search the drawers in Falador's chain mail shop, 2694
Sodium chloride, 5580
Clue scroll (easy) - Tiptoe, 23157
Rake handle, 5347
Large enriched bone, 21551
Collector icon#Split, 22315
Prayer regeneration potion#(3), 30128
Revitalisation (+)#(3), 20959
Musca powder, 28342
Ogre ribs#Polished, 7844
Twisted coat (t3), 24389
Left-handed banana, 3177
Ring of the gods (i)#Nightmare Zone, 13202
Iron crossbow, 9177
Mithril dagger#(p++), 5692
Ore pack (Giants' Foundry), 27019
Oldschool jumper, 27822
Armadyl rune armour set (sk), 13054
Trailblazer reloaded steel trophy, 28759
Old school bond#Untradeable, 13192
Zombie monkey (item), 24863
Book of law, 12610
Blood moon helm#Broken, 29073
Sinew, 9436
Leckish fish (2), 20860
Jade bolt tips, 9187
Marble decorative bench, 20651
