Item name, item ID, item URL, item found on GE
Exquisite boots,5064,https://secure.runescape.com/m=itemdb_oldschool/Exquisite+boots/viewitem?obj=5064,false
Cloak of ruin,27438,https://secure.runescape.com/m=itemdb_oldschool/Cloak+of+ruin/viewitem?obj=27438,false
Starter bow,22333,https://secure.runescape.com/m=itemdb_oldschool/Starter+bow/viewitem?obj=22333,false
Twisted (+)#(1),20933,https://secure.runescape.com/m=itemdb_oldschool/Twisted+(+)#(1)Twisted %28+)#%281)Twisted (+%29#(1%29/viewitem?obj=20933,false
Blue moon chestplate (Last Man Standing),29843,https://secure.runescape.com/m=itemdb_oldschool/Blue+moon+chestplate+(Last+Man+Standing)Blue moon chestplate %28Last Man Standing)Blue moon chestplate (Last Man Standing%29/viewitem?obj=29843,false
Clue scroll (medium) - AHA JAR,3616,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(medium)+-+AHA+JARClue scroll %28medium) - AHA JARClue scroll (medium%29 - AHA JAR/viewitem?obj=3616,false
Old chipped vase,11183,https://secure.runescape.com/m=itemdb_oldschool/Old+chipped+vase/viewitem?obj=11183,false
Wyvern bonemeal,6810,https://secure.runescape.com/m=itemdb_oldschool/Wyvern+bonemeal/viewitem?obj=6810,false
Black naval shirt,8956,https://secure.runescape.com/m=itemdb_oldschool/Black+naval+shirt/viewitem?obj=8956,false
Castle wars ticket,4067,https://secure.runescape.com/m=itemdb_oldschool/Castle+wars+ticket/viewitem?obj=4067,false
Shoe (interface item)#Elven, brown, female,26668,https://secure.runescape.com/m=itemdb_oldschool/Shoe+(interface+item)#Elven,+brown,+femaleShoe %28interface item)#Elven, brown, femaleShoe (interface item%29#Elven, brown, female/viewitem?obj=26668,false
Cider(m) (keg)#2 pints,5925,https://secure.runescape.com/m=itemdb_oldschool/Cider(m)+(keg)#2+pintsCider%28m) %28keg)#2 pintsCider(m%29 (keg%29#2 pints/viewitem?obj=5925,false
Ring of wealth scroll,12783,https://secure.runescape.com/m=itemdb_oldschool/Ring+of+wealth+scroll/viewitem?obj=12783,true
Emerald amulet (u),1677,https://secure.runescape.com/m=itemdb_oldschool/Emerald+amulet+(u)Emerald amulet %28u)Emerald amulet (u%29/viewitem?obj=1677,true
Present (Christmas 2015),13346,https://secure.runescape.com/m=itemdb_oldschool/Present+(Christmas+2015)Present %28Christmas 2015)Present (Christmas 2015%29/viewitem?obj=13346,false
Vyre noble dress top (grey),24838,https://secure.runescape.com/m=itemdb_oldschool/Vyre+noble+dress+top+(grey)Vyre noble dress top %28grey)Vyre noble dress top (grey%29/viewitem?obj=24838,false
Tyrannical ring (i)#Soul Wars,25254,https://secure.runescape.com/m=itemdb_oldschool/Tyrannical+ring+(i)#Soul+WarsTyrannical ring %28i)#Soul WarsTyrannical ring (i%29#Soul Wars/viewitem?obj=25254,false
Clue scroll (elite) - 'See you in your dreams' said the vegetable man,12157,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(elite)+-+'See+you+in+your+dreams'+said+the+vegetable+manClue scroll (elite) - %27See you in your dreams%27 said the vegetable manClue scroll %28elite) - 'See you in your dreams' said the vegetable manClue scroll (elite%29 - 'See you in your dreams' said the vegetable man/viewitem?obj=12157,false
Twisted (+)#(2),20934,https://secure.runescape.com/m=itemdb_oldschool/Twisted+(+)#(2)Twisted %28+)#%282)Twisted (+%29#(2%29/viewitem?obj=20934,false
Pirate's hook,2997,https://secure.runescape.com/m=itemdb_oldschool/Pirate's+hookPirate%27s hook/viewitem?obj=2997,true
Balloon toad#Limestone,7565,https://secure.runescape.com/m=itemdb_oldschool/Balloon+toad#Limestone/viewitem?obj=7565,false
Emerald bolts (e),9241,https://secure.runescape.com/m=itemdb_oldschool/Emerald+bolts+(e)Emerald bolts %28e)Emerald bolts (e%29/viewitem?obj=9241,true
Feathered journal,10179,https://secure.runescape.com/m=itemdb_oldschool/Feathered+journal/viewitem?obj=10179,false
Old notes (Dragon Slayer II)#Ungael 6,22063,https://secure.runescape.com/m=itemdb_oldschool/Old+notes+(Dragon+Slayer+II)#Ungael+6Old notes %28Dragon Slayer II)#Ungael 6Old notes (Dragon Slayer II%29#Ungael 6/viewitem?obj=22063,false
Old notes (Dragon Slayer II)#Ungael 5,22061,https://secure.runescape.com/m=itemdb_oldschool/Old+notes+(Dragon+Slayer+II)#Ungael+5Old notes %28Dragon Slayer II)#Ungael 5Old notes (Dragon Slayer II%29#Ungael 5/viewitem?obj=22061,false
Old notes (Dragon Slayer II)#Ungael 4,22059,https://secure.runescape.com/m=itemdb_oldschool/Old+notes+(Dragon+Slayer+II)#Ungael+4Old notes %28Dragon Slayer II)#Ungael 4Old notes (Dragon Slayer II%29#Ungael 4/viewitem?obj=22059,false
Healing vial#1 dose,10545,https://secure.runescape.com/m=itemdb_oldschool/Healing+vial#1+dose/viewitem?obj=10545,false
Old notes (Dragon Slayer II)#Ungael 3,22057,https://secure.runescape.com/m=itemdb_oldschool/Old+notes+(Dragon+Slayer+II)#Ungael+3Old notes %28Dragon Slayer II)#Ungael 3Old notes (Dragon Slayer II%29#Ungael 3/viewitem?obj=22057,false
Old notes (Dragon Slayer II)#Ungael 2,22055,https://secure.runescape.com/m=itemdb_oldschool/Old+notes+(Dragon+Slayer+II)#Ungael+2Old notes %28Dragon Slayer II)#Ungael 2Old notes (Dragon Slayer II%29#Ungael 2/viewitem?obj=22055,false
Brown spice#(4),7488,https://secure.runescape.com/m=itemdb_oldschool/Brown+spice#(4)Brown spice#%284)Brown spice#(4%29/viewitem?obj=7488,false
Old notes (Dragon Slayer II)#Ungael 1,22053,https://secure.runescape.com/m=itemdb_oldschool/Old+notes+(Dragon+Slayer+II)#Ungael+1Old notes %28Dragon Slayer II)#Ungael 1Old notes (Dragon Slayer II%29#Ungael 1/viewitem?obj=22053,false
Spell (unobtainable item)#Dream,11148,https://secure.runescape.com/m=itemdb_oldschool/Spell+(unobtainable+item)#DreamSpell %28unobtainable item)#DreamSpell (unobtainable item%29#Dream/viewitem?obj=11148,false
Ramrod,7120,https://secure.runescape.com/m=itemdb_oldschool//viewitem?obj=7120,false
Mystic steam staff (or),12796,https://secure.runescape.com/m=itemdb_oldschool/Mystic+steam+staff+(or)Mystic steam staff %28or)Mystic steam staff (or%29/viewitem?obj=12796,false
Koriff's coif#Normal,26741,https://secure.runescape.com/m=itemdb_oldschool/Koriff's+coif#NormalKoriff%27s coif#Normal/viewitem?obj=26741,false
Scarred scraps,28443,https://secure.runescape.com/m=itemdb_oldschool/Scarred+scraps/viewitem?obj=28443,false
Spell (unobtainable item)#Stat Spy,11147,https://secure.runescape.com/m=itemdb_oldschool/Spell+(unobtainable+item)#Stat+SpySpell %28unobtainable item)#Stat SpySpell (unobtainable item%29#Stat Spy/viewitem?obj=11147,false
Divine rune pouch#Normal,27281,https://secure.runescape.com/m=itemdb_oldschool/Divine+rune+pouch#Normal/viewitem?obj=27281,false
Broken vane part#Weaethervane pillar,4433,https://secure.runescape.com/m=itemdb_oldschool/Broken+vane+part#Weaethervane+pillar/viewitem?obj=4433,false
Warrior ring,6735,https://secure.runescape.com/m=itemdb_oldschool/Warrior+ring/viewitem?obj=6735,true
Group ironman platebody (unranked)#II,27048,https://secure.runescape.com/m=itemdb_oldschool/Group+ironman+platebody+(unranked)#IIGroup ironman platebody %28unranked)#IIGroup ironman platebody (unranked%29#II/viewitem?obj=27048,false
Teak eagle lectern,8337,https://secure.runescape.com/m=itemdb_oldschool/Teak+eagle+lectern/viewitem?obj=8337,false
Group ironman platebody (unranked)#IV,27052,https://secure.runescape.com/m=itemdb_oldschool/Group+ironman+platebody+(unranked)#IVGroup ironman platebody %28unranked)#IVGroup ironman platebody (unranked%29#IV/viewitem?obj=27052,false
Potion of power#(2),25205,https://secure.runescape.com/m=itemdb_oldschool/Potion+of+power#(2)Potion of power#%282)Potion of power#(2%29/viewitem?obj=25205,false
Elven top (white vest),24027,https://secure.runescape.com/m=itemdb_oldschool/Elven+top+(white+vest)Elven top %28white vest)Elven top (white vest%29/viewitem?obj=24027,false
Tullia's letter,27596,https://secure.runescape.com/m=itemdb_oldschool/Tullia's+letterTullia%27s letter/viewitem?obj=27596,false
Clue scroll (medium) - ARMCHAIR THE PELT,19750,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(medium)+-+ARMCHAIR+THE+PELTClue scroll %28medium) - ARMCHAIR THE PELTClue scroll (medium%29 - ARMCHAIR THE PELT/viewitem?obj=19750,false
Fire talisman,1442,https://secure.runescape.com/m=itemdb_oldschool/Fire+talisman/viewitem?obj=1442,true
Pyromancer hood,20708,https://secure.runescape.com/m=itemdb_oldschool/Pyromancer+hood/viewitem?obj=20708,false
Dni23 arms shoulderpads,29718,https://secure.runescape.com/m=itemdb_oldschool/Dni23+arms+shoulderpads/viewitem?obj=29718,false
Tomato seed,5322,https://secure.runescape.com/m=itemdb_oldschool/Tomato+seed/viewitem?obj=5322,true
Clue scroll (hard) - 19.24N 30.37W,19842,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(hard)+-+19.24N+30.37WClue scroll %28hard) - 19.24N 30.37WClue scroll (hard%29 - 19.24N 30.37W/viewitem?obj=19842,false
Bell jar,10895,https://secure.runescape.com/m=itemdb_oldschool/Bell+jar/viewitem?obj=10895,false
Diamond speedrun trophy,27783,https://secure.runescape.com/m=itemdb_oldschool/Diamond+speedrun+trophy/viewitem?obj=27783,false
Temple key,23502,https://secure.runescape.com/m=itemdb_oldschool/Temple+key/viewitem?obj=23502,false
Bandos chaps,12502,https://secure.runescape.com/m=itemdb_oldschool/Bandos+chaps/viewitem?obj=12502,true
Yellow crystal (Song of the Elves),23777,https://secure.runescape.com/m=itemdb_oldschool/Yellow+crystal+(Song+of+the+Elves)Yellow crystal %28Song of the Elves)Yellow crystal (Song of the Elves%29/viewitem?obj=23777,false
Lumberjack hat,10941,https://secure.runescape.com/m=itemdb_oldschool/Lumberjack+hat/viewitem?obj=10941,false
Jewels,4590,https://secure.runescape.com/m=itemdb_oldschool//viewitem?obj=4590,false
Spell (unobtainable item)#Watchtower Teleport,3306,https://secure.runescape.com/m=itemdb_oldschool/Spell+(unobtainable+item)#Watchtower+TeleportSpell %28unobtainable item)#Watchtower TeleportSpell (unobtainable item%29#Watchtower Teleport/viewitem?obj=3306,false
Clue scroll (easy) - Talk to a party-goer in Falador,12169,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(easy)+-+Talk+to+a+party-goer+in+FaladorClue scroll %28easy) - Talk to a party-goer in FaladorClue scroll (easy%29 - Talk to a party-goer in Falador/viewitem?obj=12169,false
Potion of power#(1),25206,https://secure.runescape.com/m=itemdb_oldschool/Potion+of+power#(1)Potion of power#%281)Potion of power#(1%29/viewitem?obj=25206,false
Bronze arrow#(p+),5616,https://secure.runescape.com/m=itemdb_oldschool/Bronze+arrow#(p+)Bronze arrow#%28p+)Bronze arrow#(p+%29/viewitem?obj=5616,false
Poisoned cheese,6768,https://secure.runescape.com/m=itemdb_oldschool/Poisoned+cheese/viewitem?obj=6768,false
Mahogany seedling#Watered,21475,https://secure.runescape.com/m=itemdb_oldschool/Mahogany+seedling#Watered/viewitem?obj=21475,false
Graceful top (Piscarilius)#Worn,13596,https://secure.runescape.com/m=itemdb_oldschool/Graceful+top+(Piscarilius)#WornGraceful top %28Piscarilius)#WornGraceful top (Piscarilius%29#Worn/viewitem?obj=13596,false
Dharok's platebody#25,4895,https://secure.runescape.com/m=itemdb_oldschool/Dharok's+platebody#25Dharok%27s platebody#25/viewitem?obj=4895,false
Sigil of woodcraft#Un-attuned,28529,https://secure.runescape.com/m=itemdb_oldschool/Sigil+of+woodcraft#Un-attuned/viewitem?obj=28529,false
Unfinished cocktail (Pineapple punch, historical)#Pineapple + Lime,2046,https://secure.runescape.com/m=itemdb_oldschool/Unfinished+cocktail+(Pineapple+punch,+historical)#Pineapple+++LimeUnfinished cocktail %28Pineapple punch, historical)#Pineapple + LimeUnfinished cocktail (Pineapple punch, historical%29#Pineapple + Lime/viewitem?obj=2046,false
Magic potion#(1),3046,https://secure.runescape.com/m=itemdb_oldschool/Magic+potion#(1)Magic potion#%281)Magic potion#(1%29/viewitem?obj=3046,false
Bloodbark gauntlets,25407,https://secure.runescape.com/m=itemdb_oldschool/Bloodbark+gauntlets/viewitem?obj=25407,true
Potion of power#(4),25203,https://secure.runescape.com/m=itemdb_oldschool/Potion+of+power#(4)Potion of power#%284)Potion of power#(4%29/viewitem?obj=25203,false
Unusual fish,3703,https://secure.runescape.com/m=itemdb_oldschool/Unusual+fish/viewitem?obj=3703,false
Torture ornament kit,20062,https://secure.runescape.com/m=itemdb_oldschool/Torture+ornament+kit/viewitem?obj=20062,true
Rock golem#Gold,21193,https://secure.runescape.com/m=itemdb_oldschool/Rock+golem#Gold/viewitem?obj=21193,false
Iron battleaxe,1363,https://secure.runescape.com/m=itemdb_oldschool/Iron+battleaxe/viewitem?obj=1363,true
Clue scroll (medium) - 08.11S 04.48E,12033,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(medium)+-+08.11S+04.48EClue scroll %28medium) - 08.11S 04.48EClue scroll (medium%29 - 08.11S 04.48E/viewitem?obj=12033,false
Unfinished cocktail (Blurberry special, historical)#Orange,2058,https://secure.runescape.com/m=itemdb_oldschool/Unfinished+cocktail+(Blurberry+special,+historical)#OrangeUnfinished cocktail %28Blurberry special, historical)#OrangeUnfinished cocktail (Blurberry special, historical%29#Orange/viewitem?obj=2058,false
Desert lizard bone#Unpolished,7902,https://secure.runescape.com/m=itemdb_oldschool/Desert+lizard+bone#Unpolished/viewitem?obj=7902,false
Astral rune shards,11156,https://secure.runescape.com/m=itemdb_oldschool/Astral+rune+shards/viewitem?obj=11156,false
Adamant arrow pack,20525,https://secure.runescape.com/m=itemdb_oldschool/Adamant+arrow+pack/viewitem?obj=20525,false
Smoke ancient sceptre#Locked,28475,https://secure.runescape.com/m=itemdb_oldschool/Smoke+ancient+sceptre#Locked/viewitem?obj=28475,false
Magic potion#(2),3044,https://secure.runescape.com/m=itemdb_oldschool/Magic+potion#(2)Magic potion#%282)Magic potion#(2%29/viewitem?obj=3044,false
Deadman rug,29598,https://secure.runescape.com/m=itemdb_oldschool/Deadman+rug/viewitem?obj=29598,false
Potion of power#(3),25204,https://secure.runescape.com/m=itemdb_oldschool/Potion+of+power#(3)Potion of power#%283)Potion of power#(3%29/viewitem?obj=25204,false
Rift guardian#Wrath,21990,https://secure.runescape.com/m=itemdb_oldschool/Rift+guardian#Wrath/viewitem?obj=21990,false
Special hot sauce,26916,https://secure.runescape.com/m=itemdb_oldschool/Special+hot+sauce/viewitem?obj=26916,false
Spiked boots,3107,https://secure.runescape.com/m=itemdb_oldschool/Spiked+boots/viewitem?obj=3107,false
Turquoise slayer helmet (i)#Emir's Arena,26679,https://secure.runescape.com/m=itemdb_oldschool/Turquoise+slayer+helmet+(i)#Emir's+ArenaTurquoise slayer helmet (i)#Emir%27s ArenaTurquoise slayer helmet %28i)#Emir's ArenaTurquoise slayer helmet (i%29#Emir's Arena/viewitem?obj=26679,false
Spell (unobtainable item)#Wind Wave,3313,https://secure.runescape.com/m=itemdb_oldschool/Spell+(unobtainable+item)#Wind+WaveSpell %28unobtainable item)#Wind WaveSpell (unobtainable item%29#Wind Wave/viewitem?obj=3313,false
Purple elegant blouse,10436,https://secure.runescape.com/m=itemdb_oldschool/Purple+elegant+blouse/viewitem?obj=10436,true
Void knight top (or)#Locked,27000,https://secure.runescape.com/m=itemdb_oldschool/Void+knight+top+(or)#LockedVoid knight top %28or)#LockedVoid knight top (or%29#Locked/viewitem?obj=27000,false
Soft clay pack#Unidentified minerals,24851,https://secure.runescape.com/m=itemdb_oldschool/Soft+clay+pack#Unidentified+minerals/viewitem?obj=24851,false
Araxyte venom sack,29784,https://secure.runescape.com/m=itemdb_oldschool/Araxyte+venom+sack/viewitem?obj=29784,false
Old tablet,28438,https://secure.runescape.com/m=itemdb_oldschool/Old+tablet/viewitem?obj=28438,false
Rune shards,6466,https://secure.runescape.com/m=itemdb_oldschool/Rune+shards/viewitem?obj=6466,false
Survival token,20527,https://secure.runescape.com/m=itemdb_oldschool/Survival+token/viewitem?obj=20527,false
Oak bed (small, Mahogany Homes)#1,24919,https://secure.runescape.com/m=itemdb_oldschool/Oak+bed+(small,+Mahogany+Homes)#1Oak bed %28small, Mahogany Homes)#1Oak bed (small, Mahogany Homes%29#1/viewitem?obj=24919,false
Oak bed (small, Mahogany Homes)#2,24919,https://secure.runescape.com/m=itemdb_oldschool/Oak+bed+(small,+Mahogany+Homes)#2Oak bed %28small, Mahogany Homes)#2Oak bed (small, Mahogany Homes%29#2/viewitem?obj=24919,false
Abyssal lantern#Normal,26824,https://secure.runescape.com/m=itemdb_oldschool/Abyssal+lantern#Normal/viewitem?obj=26824,false
Oak bed (small, Mahogany Homes)#3,24919,https://secure.runescape.com/m=itemdb_oldschool/Oak+bed+(small,+Mahogany+Homes)#3Oak bed %28small, Mahogany Homes)#3Oak bed (small, Mahogany Homes%29#3/viewitem?obj=24919,false
Teak altar#Guthix,8063,https://secure.runescape.com/m=itemdb_oldschool/Teak+altar#Guthix/viewitem?obj=8063,false
Void knight gloves (or)#Locked,27002,https://secure.runescape.com/m=itemdb_oldschool/Void+knight+gloves+(or)#LockedVoid knight gloves %28or)#LockedVoid knight gloves (or%29#Locked/viewitem?obj=27002,false
Wristbands of the arena (i)#Charged and Locked,26730,https://secure.runescape.com/m=itemdb_oldschool/Wristbands+of+the+arena+(i)#Charged+and+LockedWristbands of the arena %28i)#Charged and LockedWristbands of the arena (i%29#Charged and Locked/viewitem?obj=26730,false
Echo crystal,28942,https://secure.runescape.com/m=itemdb_oldschool/Echo+crystal/viewitem?obj=28942,true
Seaweed in a box?,6680,https://secure.runescape.com/m=itemdb_oldschool/Seaweed+in+a+box?/viewitem?obj=6680,false
Beer glass of water,23107,https://secure.runescape.com/m=itemdb_oldschool/Beer+glass+of+water/viewitem?obj=23107,false
Dharok's platebody#50,4894,https://secure.runescape.com/m=itemdb_oldschool/Dharok's+platebody#50Dharok%27s platebody#50/viewitem?obj=4894,false
Moonlight mead(m) (keg)#4 pints,5897,https://secure.runescape.com/m=itemdb_oldschool/Moonlight+mead(m)+(keg)#4+pintsMoonlight mead%28m) %28keg)#4 pintsMoonlight mead(m%29 (keg%29#4 pints/viewitem?obj=5897,false
Bronze key purple,3454,https://secure.runescape.com/m=itemdb_oldschool/Bronze+key+purple/viewitem?obj=3454,false
Potion of sealegs,21531,https://secure.runescape.com/m=itemdb_oldschool/Potion+of+sealegs/viewitem?obj=21531,false
Imbued guthix cape (Last Man Standing),23603,https://secure.runescape.com/m=itemdb_oldschool/Imbued+guthix+cape+(Last+Man+Standing)Imbued guthix cape %28Last Man Standing)Imbued guthix cape (Last Man Standing%29/viewitem?obj=23603,false
Clan wars cape (PvP Championship)#Vizier,21411,https://secure.runescape.com/m=itemdb_oldschool/Clan+wars+cape+(PvP+Championship)#VizierClan wars cape %28PvP Championship)#VizierClan wars cape (PvP Championship%29#Vizier/viewitem?obj=21411,false
Slop of compromise,7511,https://secure.runescape.com/m=itemdb_oldschool/Slop+of+compromise/viewitem?obj=7511,false
Sapphire dragon bolts (e),21940,https://secure.runescape.com/m=itemdb_oldschool/Sapphire+dragon+bolts+(e)Sapphire dragon bolts %28e)Sapphire dragon bolts (e%29/viewitem?obj=21940,false
Posh bell-pull,8101,https://secure.runescape.com/m=itemdb_oldschool/Posh+bell-pull/viewitem?obj=8101,false
Bench with vice,8378,https://secure.runescape.com/m=itemdb_oldschool/Bench+with+vice/viewitem?obj=8378,false
Water-filled vial,23880,https://secure.runescape.com/m=itemdb_oldschool/Water-filled+vial/viewitem?obj=23880,false
Team cape i,20217,https://secure.runescape.com/m=itemdb_oldschool/Team+cape+i/viewitem?obj=20217,false
Zulrah's scales,12934,https://secure.runescape.com/m=itemdb_oldschool/Zulrah's+scalesZulrah%27s scales/viewitem?obj=12934,true
Guardian's eye,26820,https://secure.runescape.com/m=itemdb_oldschool/Guardian's+eyeGuardian%27s eye/viewitem?obj=26820,false
Elemental talisman,5516,https://secure.runescape.com/m=itemdb_oldschool/Elemental+talisman/viewitem?obj=5516,false
Dragon dart tip,11232,https://secure.runescape.com/m=itemdb_oldschool/Dragon+dart+tip/viewitem?obj=11232,false
Maze key,1542,https://secure.runescape.com/m=itemdb_oldschool/Maze+key/viewitem?obj=1542,false
Incomplete pizza (cookout),26631,https://secure.runescape.com/m=itemdb_oldschool/Incomplete+pizza+(cookout)Incomplete pizza %28cookout)Incomplete pizza (cookout%29/viewitem?obj=26631,false
Oak wardrobe (Mahogany Homes),24907,https://secure.runescape.com/m=itemdb_oldschool/Oak+wardrobe+(Mahogany+Homes)Oak wardrobe %28Mahogany Homes)Oak wardrobe (Mahogany Homes%29/viewitem?obj=24907,false
3rd age longsword,12426,https://secure.runescape.com/m=itemdb_oldschool/3rd+age+longsword/viewitem?obj=12426,false
Black d'hide chaps (Last Man Standing),20424,https://secure.runescape.com/m=itemdb_oldschool/Black+d'hide+chaps+(Last+Man+Standing)Black d%27hide chaps (Last Man Standing)Black d'hide chaps %28Last Man Standing)Black d'hide chaps (Last Man Standing%29/viewitem?obj=20424,false
Mole skin,7418,https://secure.runescape.com/m=itemdb_oldschool/Mole+skin/viewitem?obj=7418,false
Gilded altar#Saradomin,8068,https://secure.runescape.com/m=itemdb_oldschool/Gilded+altar#Saradomin/viewitem?obj=8068,false
Cooler,26925,https://secure.runescape.com/m=itemdb_oldschool//viewitem?obj=26925,false
Dharok's platebody#75,4893,https://secure.runescape.com/m=itemdb_oldschool/Dharok's+platebody#75Dharok%27s platebody#75/viewitem?obj=4893,false
Crystal body (Ithell)#Inactive,27711,https://secure.runescape.com/m=itemdb_oldschool/Crystal+body+(Ithell)#InactiveCrystal body %28Ithell)#InactiveCrystal body (Ithell%29#Inactive/viewitem?obj=27711,false
Dream potion,11154,https://secure.runescape.com/m=itemdb_oldschool/Dream+potion/viewitem?obj=11154,false
Team cape x,20214,https://secure.runescape.com/m=itemdb_oldschool/Team+cape+x/viewitem?obj=20214,false
Decorative armour (gold platelegs)#Broken,20487,https://secure.runescape.com/m=itemdb_oldschool/Decorative+armour+(gold+platelegs)#BrokenDecorative armour %28gold platelegs)#BrokenDecorative armour (gold platelegs%29#Broken/viewitem?obj=20487,false
Slayer's respite (keg)#1 pint,5835,https://secure.runescape.com/m=itemdb_oldschool/Slayer's+respite+(keg)#1+pintSlayer%27s respite (keg)#1 pintSlayer's respite %28keg)#1 pintSlayer's respite (keg%29#1 pint/viewitem?obj=5835,false
Skull piece,6163,https://secure.runescape.com/m=itemdb_oldschool/Skull+piece/viewitem?obj=6163,false
Banner stand#Trailblazer,25355,https://secure.runescape.com/m=itemdb_oldschool/Banner+stand#Trailblazer/viewitem?obj=25355,false
Bruma herb,20698,https://secure.runescape.com/m=itemdb_oldschool/Bruma+herb/viewitem?obj=20698,false
Clue scroll (medium) - 11.05N 00.45W,3594,https://secure.runescape.com/m=itemdb_oldschool/Clue+scroll+(medium)+-+11.05N+00.45WClue scroll %28medium) - 11.05N 00.45WClue scroll (medium%29 - 11.05N 00.45W/viewitem?obj=3594,false
Brown spice#(2),7490,https://secure.runescape.com/m=itemdb_oldschool/Brown+spice#(2)Brown spice#%282)Brown spice#(2%29/viewitem?obj=7490,false
Spider cave teleport,29782,https://secure.runescape.com/m=itemdb_oldschool/Spider+cave+teleport/viewitem?obj=29782,false
Brown spice#(3),7489,https://secure.runescape.com/m=itemdb_oldschool/Brown+spice#(3)Brown spice#%283)Brown spice#(3%29/viewitem?obj=7489,false
Steel dagger#(unp),1207,https://secure.runescape.com/m=itemdb_oldschool/Steel+dagger#(unp)Steel dagger#%28unp)Steel dagger#(unp%29/viewitem?obj=1207,false
Dagon'hai history,11001,https://secure.runescape.com/m=itemdb_oldschool/Dagon'hai+historyDagon%27hai history/viewitem?obj=11001,false
3rd age druidic staff,23342,https://secure.runescape.com/m=itemdb_oldschool/3rd+age+druidic+staff/viewitem?obj=23342,false
Extended brush#2 canes,4192,https://secure.runescape.com/m=itemdb_oldschool/Extended+brush#2+canes/viewitem?obj=4192,false
Bearded gorilla greegree,4027,https://secure.runescape.com/m=itemdb_oldschool/Bearded+gorilla+greegree/viewitem?obj=4027,false
Blood moon helm#New,29028,https://secure.runescape.com/m=itemdb_oldschool/Blood+moon+helm#New/viewitem?obj=29028,false
Brown spice#(1),7491,https://secure.runescape.com/m=itemdb_oldschool/Brown+spice#(1)Brown spice#%281)Brown spice#(1%29/viewitem?obj=7491,false
Teak armchair (flatpack),8506,https://secure.runescape.com/m=itemdb_oldschool/Teak+armchair+(flatpack)Teak armchair %28flatpack)Teak armchair (flatpack%29/viewitem?obj=8506,false
Fishbowl#Empty,6667,https://secure.runescape.com/m=itemdb_oldschool//viewitem?obj=6667,false
Mahogany lever,8366,https://secure.runescape.com/m=itemdb_oldschool/Mahogany+lever/viewitem?obj=8366,false
Servery pineapple chunks,13411,https://secure.runescape.com/m=itemdb_oldschool/Servery+pineapple+chunks/viewitem?obj=13411,false
Anti-panties#Reward,13288,https://secure.runescape.com/m=itemdb_oldschool//viewitem?obj=13288,false
